Gender,Team tier,Team,Rider,Nationality,Age,Date of birth,Place of birth,Height (m),Weight (kg),Wins,UCI rank,Top result 1,Top result 2,Top result 3,Previous team 1,Previous team 2,Previous team 3,Previous team 4,Previous team 5,Previous team 6,Previous team 7,Previous team 8,Previous team 9,Previous team 10,Previous team 11,Previous team 12,Previous team 13,Previous team 14,Specialty 1,Specialty 2
M,PT,Burgos Burpellet BH,CHUMIL Sergio Geovani,gt,25,8 October 2000,Tecpán,1.67,62,4,,stage O Gran Camiño ('25),stage Volta a Portugal ('24),Juegos Centroamericanos ORDECA IRR ('25),Burgos - BH,Club Ciclista Padronés - Cortizo,Aluminios Cortizo,,,,,,,,,,,,Climber,
M,PT,Burgos Burpellet BH,DE LA CALLE Hugo,Spain,21,12 July 2004,Castrillón,1.80,65,0,,2nd stage GP Beiras e Serra da Estrela ('26),4th GC Vuelta Asturias ('25),4th stage Vuelta Asturias ('25),Club Ciclista Padronés - Cortizo,Caja Rural - Alea,MMR Academy,,,,,,,,,,,,GC,
M,PT,Burgos Burpellet BH,DÍAZ José Manuel,Spain,31,18 January 1995,Jaén,1.77,64,4,,GC Presidential Cycling Tour of Turkey ('21),Clàssica Terres de l'Ebre ('26),stage Presidential Cycling Tour of Turkey ('21),Burgos - BH,Gazprom - RusVelo,DELKO,NIPPO DELKO One Provence,Team Vorarlberg Santic,Israel Cycling Academy,,,,,,,,,GC,
M,PT,Burgos Burpellet BH,FAGÚNDEZ Eric Antonio,Uruguay,27,19 August 1998,Vergara,1.80,67,4,209,2x stage Tour of Qinghai Lake ('24),2nd GC Tour of Qinghai Lake ('23),"2x National Championships Uruguay ME - ITT ('25, '23)",Burgos - BH,BAI - Sicasal - Petro de Luanda,Aluminios Cortizo,,,,,,,,,,,,Oneday,
M,PT,Burgos Burpellet BH,FAJARDO Adrián,Spain,22,27 October 2003,Almansa,1.76,63,0,,National Championships Spain MU - ITT ('25),14th National Championships Spain MU - Road Race ('24),30th stage Presidential Cycling Tour of Türkiye ('26),Vigo - Rias Baixas,Equipo Essax,,,,,,,,,,,,,Climber,
M,PT,Burgos Burpellet BH,FAURA José Luis,Spain,25,15 September 2000,Pliego,1.82,67,0,,13th GC Presidential Cycling Tour of Türkiye ('26),6th GC Tour of Mentougou ('25),10th GC La Route d'Occitanie - CIC ('25),Club Ciclista Padronés - Cortizo,Electro Hiper Europa,Valverde Team - Ricardo Fuentes,,,,,,,,,,,,GC,
M,PT,Burgos Burpellet BH,FERNÁNDEZ Sinuhé,Spain,25,15 June 2000,Brañes,1.80,60,0,,8th GC Ronde de l'Isard ('21),14th GC Vuelta Asturias ('26),15th GC GP Beiras e Serra da Estrela ('25),Burgos - BH,Club Ciclista Padronés - Cortizo,Equipo Kern Pharma,Lizarte,Ciudad de Oviedo - Tartiere Auto,,,,,,,,,,GC,
M,PT,Burgos Burpellet BH,GARCÍA PIERNA Carlos,Spain,26,23 July 1999,Tres Cantos,1.71,58,0,,stage Tour of Mentougou ('25),2nd GC Tour of Mentougou ('25),10th GC Baku-Khankendi Azerbaijan Cycling race ('26),Equipo Kern Pharma,Caja Rural - Seguros RGA,Equipo Amateur Caja Rural - Seguros RGA,Kometa U23,Polartec - Fundación Alberto Contador Junior Team,rh+/Polartec Team - Fundación Alberto Contador,,,,,,,,,GC,
M,PT,Burgos Burpellet BH,HERRADA Jesús,Spain,35,26 July 1990,Mota del Cuervo,1.83,70,21,221,"3x stage Vuelta a España ('23, '22, '19)",GC Tour de Luxembourg ('19),"Trofeo Ses Salines, Campos, Porreres, Felanitx ('19)",Cofidis,"Cofidis, Solutions Crédits",Movistar Team,Caja Rural Amateurs,ECP-Aluminis St Jordi,,,,,,,,,,GC,
M,PT,Burgos Burpellet BH,KMÍNEK Vojtěch,Czechia,25,11 September 2000,Rýmařov,1.87,75,0,,3rd NC Czech Republic ME - Road Race ('24),4th National Championships Czech Republic MU - Road Race ('21),9th stage Tour de Langkawi ('25),Club Ciclista Padronés - Cortizo,TJ Favorit Brno,Team TJ Favorit Brno,Mapei Merida Kaňkovský,,,,,,,,,,,Sprint,
M,PT,Burgos Burpellet BH,KOYAMA Tomoya,Japan,27,18 July 1998,Matsubara,1.73,61,0,,10th stage Tour of Istanbul ('23),11th National Championships Japan MU - ITT ('19),15th stage Tour of Japan ('23),Vini Monzon - Savini Due - OMZ,Team Vorarlberg,Global 6 Cycling,Java Kiwi Atlántico,Team UKYO,Hincapie / LEOMO p/b BMC,Interpro Cycling Academy,,,,,,,,Sprint,
M,PT,Burgos Burpellet BH,KUDUS Merhawi,Eritrea,32,23 January 1994,Asmara,1.73,58,7,,African Continental Championships ME - Road Race ('25),GC Tour du Rwanda ('19),"3x stage Tour du Rwanda ('19, '12)",Terengganu Cycling Team,EF Education - EasyPost,Astana - Premier Tech,Astana Pro Team,Team Dimension Data,MTN - Qhubeka,Bretagne - Séché Environnement,,,,,,,,GC,
M,PT,Burgos Burpellet BH,MACÍAS César,Mexico,22,17 September 2003,Guadalajara,1.65,57,0,,2nd Pan-American Continental Championships ME - Road Race ('26),stage Giro della Regione Friuli Venezia Giulia ('24),3rd stage Presidential Cycling Tour of Türkiye ('26),Petrolike,EvoPro Racing,Start Cycling Team,Start Junior Team by Java,,,,,,,,,,,Sprint,
M,PT,Burgos Burpellet BH,MAYER Alexandre,mu,28,29 April 1998,Curepipe,1.78,65,5,,African Games ME - Road Race ('24),"3x National Championships Mauritius ME - Road Race ('22, '21, '20)",GC Grand Prix Chantal Biya ('25),Foran CT,Saint Piran,Uskis Saint Piran Development Team,Team MCB,WB - Fybolia Locminé,,,,,,,,,,TT,
M,PT,Burgos Burpellet BH,OKAMIKA Ander,Spain,33,2 April 1993,Lekeitio,1.90,70,0,,3rd stage Vuelta a Andalucia Ruta Ciclista Del Sol ('22),7th GC Presidential Cycling Tour of Türkiye ('23),10th GC Tour of Qinghai Lake ('24),Burgos - BH,,,,,,,,,,,,,,GC,
M,PT,Burgos Burpellet BH,QUARTUCCI Lorenzo,Italy,27,5 April 1999,Sansepolcro,1.70,64,1,,stage Tour of Thailand ('25),The Road Race Tokyo Tama ('25),3rd GC Tour of Thailand ('25),Team Solution Tech - Vini Fantini,Team Corratec - Vini Fantini,Team Corratec - Selle Italia,Casillo - Petroli Firenze - Hopplà,D'Amico - UM Tools,Zalf Euromobil Fior,Zalf Euromobil Désirée Fior,ASD Gubbio Ciclismo Mocaiana,,,,,,,GC,
M,PT,Burgos Burpellet BH,REY Martín,Spain,23,11 March 2003,Vilagarcía de Arousa,1.77,65,0,,3rd National Championships Spain MU - Road Race ('24),7th KOM O Gran Camiño ('26),12th stage Ronde de l'Isard ('25),Club Ciclista Padronés - Cortizo,Burgos - BH,,,,,,,,,,,,,Hills,
M,PT,Burgos Burpellet BH,SAINBAYAR Jambaljamts,mn,29,4 September 1996,Ulaanbaatar,1.71,60,7,,GC Tour of Thailand ('21),"3x National Championships Mongolia ME - ITT ('25, '24, '22)",stage Tour of Fuzhou ('19),Burgos - BH,Terengganu Polygon Cycling Team,Terengganu Cycling Team,Ferei Pro Cycling Team,RTS Racing Team,,,,,,,,,,Oneday,
M,PT,Burgos Burpellet BH,ÁLVAREZ Rodrigo,Spain,26,24 August 1999,Burgos,1.75,65,0,,3rd stage Tour of Qinghai Lake ('24),5th GC Tour of Huangshan ('25),3rd stage Tour of Huangshan ('25),Burgos - BH,Equipo Gomur,Artepref Junior Team,,,,,,,,,,,,Sprint,
M,PT,Caja Rural - Seguros RGA,ARRIOLABENGOA Julen,Spain,25,16 February 2001,Erentxun,1.74,52,0,,11th GC GP Beiras e Serra da Estrela ('26),7th stage Volta a Portugal ('25),15th GC Volta a Portugal ('25),Caja Rural - Alea,Equipo Amateur Caja Rural - Seguros RGA,,,,,,,,,,,,,Climber,
M,PT,Caja Rural - Seguros RGA,BALDERSTONE Abel,Spain,25,7 July 2000,Ullastrell,1.79,61,1,,National Championships Spain ME - ITT ('25),Clàssica Terres de l'Ebre ('24),4th GC Presidential Cycling Tour of Türkiye ('25),Equipo Amateur Caja Rural - Seguros RGA,Tot Net - Terrassa Ciclisme,,,,,,,,,,,,,GC,
M,PT,Caja Rural - Seguros RGA,BARCELÓ Fernando,Spain,30,6 January 1996,Huesca,1.74,65,0,189,3rd stage Vuelta a España ('19),4th GC Tour de Wallonie ('21),stage Tour de l'Avenir ('18),Cofidis,Euskadi Basque Country - Murias,Euskadi - Murias,"Cofidis, Solutions Crédits",RH+ - Polartec-Fundación Contador,Specialized - Fundación Contador,Flex - Fundación Alberto Contador,Specialized - Fundación Alberto Contador,,,,,,,Hills,
M,PT,Caja Rural - Seguros RGA,BERWICK Sebastian,Australia,26,15 December 1999,Brisbane,1.75,59,2,154,GC Presidential Cycling Tour of Türkiye ('26),stage Tour of Hainan ('23),2nd GC Tour of Hainan ('23),Israel - Premier Tech,Israel Start-Up Nation,St George Continental Cycling Team,Chambéry Cyclisme Formation,St George CC,,,,,,,,,,GC,
M,PT,Caja Rural - Seguros RGA,BOU Joan,Spain,29,16 January 1997,Valencia,1.82,62,0,,2nd Giro della Romagna ('24),4th GC Tour de Langkawi ('23),2nd GC GP Torres Vedras - Trofeu Joaquim Agostinho ('22),Euskaltel - Euskadi,Nippo Vini Fantini Faizanè,Nippo - Vini Fantini - Europa Ovini,Nippo - Vini Fantini,Polartec - Fundación Contador,RH+ - Polartec-Fundación Contador,Flex - Fundación Alberto Contador,,,,,,,,GC,
M,PT,Caja Rural - Seguros RGA,CASTELLON Jan,Spain,22,31 July 2003,Lleida,1.70,55,0,,5th GC Tour de Hongrie ('25),4th GC La Route d'Occitanie - CIC ('25),7th GC Tour of Slovenia ('25),Caja Rural - Alea,Equipo Amateur Caja Rural - Seguros RGA,UC Vilanova - Bikesports,,,,,,,,,,,,GC,
M,PT,Caja Rural - Seguros RGA,CORRES Gorka,Spain,20,5 June 2005,Vitoria,1.76,63,0,,6th National Championships Spain MU - Road Race ('25),26th Troféu Internacional da Arrábida ('25),30th National Championships Spain MU - Road Race ('24),Caja Rural - Alea,,,,,,,,,,,,,,,
M,PT,Caja Rural - Seguros RGA,DARDER Sergi,Spain,22,30 June 2003,Barcelona,1.73,67,0,,2nd stage Tour of Istanbul ('24),6th Trofeo Matteotti ('25),8th Vuelta a Castilla y Leon ('25),Illes Balears Arabay Cycling,High Level-Gsport-Grupo Tormo,Drone Hopper-Gsport-Teika,Quadis-Trek Bicisprint,,,,,,,,,,,Hills,
M,PT,Caja Rural - Seguros RGA,DÍAZ Alex,Spain,24,28 July 2001,Urretxu,1.67,62,0,,17th GC Vuelta Asturias ('25),9th KOM Vuelta Asturias ('25),10th KOM La Route d'Occitanie - CIC ('25),Caja Rural - Alea,Baqué Cycling Team,,,,,,,,,,,,,Hills,
M,PT,Caja Rural - Seguros RGA,FERNÁNDEZ Samuel,Spain,22,11 July 2003,Pola de Siero,1.76,57,0,,stage Ronde de l'Isard ('22),"2x 5th GC Vuelta Asturias ('26, '25)",3rd stage Vuelta Asturias ('26),Caja Rural - Alea,Equipo Amateur Caja Rural - Seguros RGA,MMR Academy,,,,,,,,,,,,Climber,
M,PT,Caja Rural - Seguros RGA,GAVIRIA Fernando,Colombia,31,19 August 1994,La Ceja,1.81,71,52,,"5x stage Giro d'Italia ('19, '17)",2x stage Tour de France ('18),"6x stage Tour of Guangxi ('19, '17)",Movistar Team,UAE Team Emirates,Quick-Step Floors,Etixx - Quick Step,Colombia - Coldeportes,,,,,,,,,,Sprint,
M,PT,Caja Rural - Seguros RGA,GUARDEÑO Jaume,Spain,23,20 February 2003,Altea,1.75,62,0,,14th GC Vuelta a España ('25),8th GC Tour of Qinghai Lake ('24),4th stage Volta a Portugal ('24),Caja Rural - Alea,Equipo Amateur Caja Rural - Seguros RGA,Bathco Cycling Team,,,,,,,,,,,,GC,
M,PT,Caja Rural - Seguros RGA,IBÁÑEZ Javier,Spain,24,29 November 2001,Vitoria,1.88,67,0,,3rd National Championships Spain MU - ITT ('23),4th KOM CRO Race ('25),6th KOM Tour Poitou - Charentes ('23),Caja Rural - Alea,Equipo Amateur Caja Rural - Seguros RGA,Lizarte,,,,,,,,,,,,Hills,
M,PT,Caja Rural - Seguros RGA,LARRONDE Ellande,France,19,7 November 2006,Lapurdu,1.83,71,0,,16th Troféu Internacional da Arrábida ('25),22nd stage Tour of Hainan ('26),29th stage Boucles de la Mayenne ('26),Caja Rural - Alea,URT Vélo 64,,,,,,,,,,,,,Hills,
M,PT,Caja Rural - Seguros RGA,LEITÃO Iúri,Portugal,27,3 July 1998,Viana do Castelo,1.75,65,6,,GC Tour of Hellas ('23),Trofeo Palma ('25),"2x stage Tour of Hellas ('24, '23)",Tavfer-Measindot-Mortágua,,,,,,,,,,,,,,Sprint,
M,PT,Caja Rural - Seguros RGA,LOSPITAO Pablo,Spain,20,19 July 2005,Don Benito,1.87,67.5,0,,10th National Championships Spain MU - Road Race ('24),21st KOM Tour du Limousin-Périgord - Nouvelle Aquitaine ('25),30th stage Volta ao Algarve em Bicicleta ('26),Caja Rural - Alea,ElectroMercantil GR-100,,,,,,,,,,,,,Hills,
M,PT,Caja Rural - Seguros RGA,LÓPEZ Joseba,Spain,26,5 March 2000,Vitoria,1.81,66,0,,Classica da Arrabida - Cyclin'Portugal ('24),6th stage Itzulia Basque Country ('24),National Championships Spain MU - Road Race ('22),Equipo Amateur Caja Rural - Seguros RGA,Ford Garaje Moderno Aranako,,,,,,,,,,,,,Hills,
M,PT,Caja Rural - Seguros RGA,MOLENAAR Alex,Netherlands,26,13 July 1999,Rotterdam,1.84,63,3,,GC Turul Romaniei ('19),stage Tour de Langkawi ('22),stage Tour of Qinghai Lake ('19),Illes Balears Arabay Cycling,Electro Hiper Europa,Burgos - BH,Monkey Town - à Bloc CT,DESTIL - Parkhotel Valkenburg,,,,,,,,,,Hills,
M,PT,Caja Rural - Seguros RGA,NICOLAU Joel,Spain,28,23 December 1997,Llofriu,1.76,66,0,,4th GC CRO Race ('25),8th GC Tour of Slovenia ('22),8th Grand Prix du Morbihan ('25),Club Ciclista Sepelaco,,,,,,,,,,,,,,Hills,
M,PT,Caja Rural - Seguros RGA,OLDANI Stefano,Italy,28,10 January 1998,Milan,1.78,65,1,,stage Giro d'Italia ('22),2nd Vuelta a Castilla y Leon ('21),2nd Volta Limburg Classic ('22),Cofidis,Alpecin - Deceuninck,Lotto Soudal,Kometa Cycling Team,Polartec-Kometa,GB Junior Team,,,,,,,,,Hills,
M,PT,Caja Rural - Seguros RGA,OTRUBA Jakub,Czechia,28,30 January 1998,Olomouc,1.90,75,2,,GC Visit South Aegean Islands ('23),stage Turul Romaniei ('22),National Championships Czech Republic ME - ITT ('23),ATT Investments,Elkov - Kasper,Elkov - Author Cycling Team,SKC TUFO Prostějov,Mapei Merida Kaňkovský,,,,,,,,,,GC,
M,PT,Caja Rural - Seguros RGA,PARRA José Félix,Spain,29,16 January 1997,Ossa de Montiel,1.71,55,0,245,GC Tour Alsace ('21),2nd Mercan'Tour Classic Alpes-Maritimes ('25),stage Tour Alsace ('21),Equipo Kern Pharma,Lizarte,rh+/Polartec Team - Fundación Alberto Contador,Flex - Fundación Alberto Contador,,,,,,,,,,,GC,
M,PT,Caja Rural - Seguros RGA,PEÑUELA Francisco Joel,Venezuela,25,11 February 2001,San Cristóbal,1.75,56,1,,stage Volta a Portugal ('24),2nd GC Volta ao Alentejo ('24),2nd Ruota d'Oro - GP Festa del Perdono ('23),Rádio Popular - Paredes - Boavista,Israel Premier Tech Academy,Drone Hopper-Gsport-Teika,Gios Kiwi Atlántico,,,,,,,,,,,Hills,
M,PT,Caja Rural - Seguros RGA,PRADES Eduard,Spain,38,9 August 1987,Alcanar,1.78,63,8,,GC Presidential Cycling Tour of Turkey ('18),GC Tour of Norway ('18),GC Vuelta Aragón ('19),DELKO,Movistar Team,Euskadi - Murias,Matrix Powertag,OFM - Quinta da Lixa,Andorra Grandvalira,ECP-Aluminis St Jordi,,,,,,,,Hills,
M,PT,Caja Rural - Seguros RGA,SORARRAIN Gorka,Spain,30,21 May 1996,Tolosa,1.85,76,0,,2nd stage Boucles de la Mayenne ('24),5th GC Tour of Taihu Lake ('24),8th GC Région Pays de la Loire Tour ('26),BAI - Sicasal - Petro de Luanda,Baqué Cycling Team,,,,,,,,,,,,,GC,
